no,brand,price,cpu_man,cpu_freq,cpu_type,n_cores,cache_size,ram_size,ssd_size,display_tech,px_res,nits,width,g_card,bat_cap,bat_dur,ac_a_power,os,fingerprint
1,0.3571,983.18,1,0.784313725,0.881,0.3,0.6,0.4,8,8,0.613611111,0.6972,0.780346821,0.095547,0.500500501,0.71875,0.282608696,0.875,0
2,0.005,347.68,0.43,0.470588235,0.835,0.1,0.1,0.2,7,4,0.189722222,0.4,0.809248555,0.095547,0.45045045,0.4375,0.282608696,0.688,0
3,0.005,438.7,0.43,0.666666667,0.832,0.1,0.2,0.2,7,4,0.375,0.44,0.901734104,0.095547,0.45045045,0.45625,0.282608696,0.688,0
4,0.005,983.18,0.43,0.823529412,0.864,0.2,0.3,0.4,9,6,0.375,0.5,0.809248555,0.095547,0.570570571,0.75,0.282608696,0.875,1
5,0.0128,794.58,0.43,0.823529412,0.793,0.2,0.4,0.4,8,6,0.375,0.822,0.768786127,0.099153,0.510510511,0.6875,0.282608696,0.875,1
6,0.005,786.38,1,0.803921569,0.68,0.4,0.4,0.8,9,6,0.375,0.5,0.809248555,0.095547,0.525525526,1,0.282608696,0.875,1
7,0.005,819.18,0.43,0.823529412,0.864,0.2,0.3,0.4,8,6,0.375,0.6,0.768786127,0.091941,0.48048048,0.65,0.282608696,0.875,1
8,0.0128,761.78,1,0.803921569,0.68,0.4,0.4,0.4,9,6,0.375,0.6,0.901734104,0.095547,0.41041041,0.375,0.195652174,0.875,0
9,0.0128,786.38,1,0.803921569,0.68,0.4,0.4,0.8,8,6,0.375,0.44,0.901734104,0.095547,0.41041041,0.375,0.195652174,0.875,0
10,0.005,728.16,0.43,0.823529412,0.864,0.2,0.3,0.4,8,6,0.375,0.5,0.809248555,0.095547,0.45045045,0.875,0.282608696,0.875,1
11,0.005,819.18,0.43,0.960784314,0.805,0.2,0.4,0.4,8,6,0.375,0.5,0.809248555,0.095547,0.45045045,0.65625,0.282608696,0.875,1
12,0.0181,1311.18,1,0.862745098,0.919,0.4,0.4,0.8,10,6,0.375,0.6,0.901734104,0.14963,0.510510511,0.453125,0.282608696,0.875,0
13,0.0128,1184.08,0.43,0.980392157,0.655,0.3,0.6,0.4,10,6,0.375,0.6,0.901734104,0.144222,0.690690691,0.616875,0.869565217,0,0
14,0.005,471.5,1,0.725490196,0.805,0.2,0.2,0.2,7,6,0.375,0.5,0.809248555,0.095547,0.525525526,1,0.282608696,0.875,1
15,1,1065.18,0.12,0.62745098,0.899,0.4,0.6,0.4,8,7,0.740740741,0.8,0.751445087,0.281004,0.499499499,0.9375,0.130434783,1,0
16,0.0181,883.14,0.43,0.882352941,0.864,0.2,0.6,0.4,9,6,0.375,0.5,0.901734104,0.353619,0.510510511,0.510625,0.565217391,0,1
17,0.005,711.76,0.43,0.823529412,0.864,0.2,0.3,0.8,9,6,0.740740741,0.6,0.768786127,0.095547,0.560560561,0.6875,0.282608696,0.875,1
18,0.0128,1147.18,0.43,0.980392157,0.655,0.3,0.6,0.4,9,6,0.375,0.6,0.901734104,0.144222,0.690690691,0.3125,0.869565217,0,0
19,0.005,736.36,1,0.784313725,0.881,0.3,0.4,0.4,8,4,0.375,0.5,0.809248555,0.095547,0.45045045,0.53125,0.282608696,0.875,1
20,0.005,327.18,0.43,0.607843137,0.764,0.2,0.2,0.2,7,4,0.189722222,0.478,0.809248555,0.091941,0.32032032,0.5625,0.195652174,0.688,0
21,0.0005,628.94,1,0.725490196,0.881,0.2,0.2,0.4,9,6,0.375,0.536,0.901734104,0.099153,0.32032032,0.34375,0.282608696,0,1
22,0.0181,637.14,0.43,0.823529412,0.793,0.2,0.4,0.4,8,4,0.375,0.44,0.901734104,0.099153,0.42042042,0.53125,0.282608696,0.875,0
23,0.005,573.18,1,0.725490196,0.881,0.2,0.2,0.4,8,4,0.375,0.44,0.901734104,0.106364,0.35035035,0.3125,0.282608696,0.875,0
24,0.005,573.18,1,0.725490196,0.805,0.2,0.1,0.4,8,6,0.375,0.44,0.901734104,0.106364,0.35035035,0.3125,0.282608696,0.875,0
25,0.005,865.1,0.43,0.764705882,0.655,0.2,0.4,0.4,9,6,0.375,0.5,0.901734104,0.11351,0.525525526,0.609375,0.282608696,0.875,1
26,0.005,983.18,1,0.823529412,0.68,0.4,0.4,0.4,9,6,0.375,0.5,0.901734104,0.353619,0.45045045,0.25,0.586956522,0.875,0
27,0.0019,1548.16,0.43,0.980392157,0.655,0.3,0.6,0.8,10,6,0.375,0.524,0.901734104,0.178475,0.510510511,0.28125,0.782608696,0.875,0
28,0.0181,1393.18,0.43,0.980392157,0.655,0.3,0.6,0.8,10,6,0.375,0.6,0.901734104,0.178475,0.860860861,0.21875,0.586956522,0.875,0
29,0.0005,1598.18,0.43,0.980392157,0.655,0.3,0.6,0.8,9,6,0.375,0.5,1,0.120771,0.660660661,0.421875,1,0,0
30,0.0128,529.72,0.43,0.803921569,1,0.1,0.3,0.4,8,2,0.189722222,0.398,0.901734104,0.095547,0.41041041,0.71875,0.195652174,0.875,0
31,0.005,711.76,1,0.803921569,0.68,0.4,0.4,0.4,9,3,0.375,0.6,0.901734104,0.095547,0.45045045,0.7125,0.282608696,0,1
32,0.0181,637.14,0.43,0.705882353,0.864,0.2,0.3,0.4,8,4,0.375,0.44,0.901734104,0.095547,0.42042042,0.5125,0.282608696,0.875,0
33,0.005,327.18,1,0.647058824,0.813,0.1,0.2,0.2,7,4,0.375,0.454,0.809248555,0.095547,0.3003003,0.53125,0.282608696,0.875,0
34,0.005,737.18,0.43,0.764705882,0.655,0.2,0.4,0.6,9,4,0.375,0.44,0.901734104,0.178475,0.35035035,0.7125,0.282608696,0,0
35,0.005,487.9,0.43,0.803921569,0.832,0.1,0.2,0.4,8,4,0.375,0.436,0.901734104,0.095547,0.35035035,0.46875,0.282608696,0,0
36,0.0005,1393.18,0.43,0.941176471,0.805,0.2,0.6,0.8,9,1,0.375,0.53,0.901734104,0.178475,0.760760761,0.625,0.434782609,0.875,0
37,0.005,653.54,1,0.784313725,0.881,0.3,0.4,0.4,9,3,0.375,0.5,0.901734104,0.095547,0.45045045,0.7125,0.282608696,0,1
38,0.005,703.56,1,0.803921569,0.68,0.4,0.4,0.4,8,4,0.375,0.5,0.901734104,0.095547,0.35035035,0.6,0.282608696,0,0
39,0.005,1275.1,1,0.823529412,0.68,0.4,0.4,0.8,9,6,0.375,0.6,0.901734104,0.153257,0.600600601,0.453125,1,0.875,0
40,0.0005,1851.8,0.43,0.941176471,0.805,0.2,0.6,0.8,10,1,0.375,0.53,0.901734104,0.178482,0.760760761,0.625,0.434782609,0.875,0
41,0.0005,1475.18,1,0.843137255,0.919,0.4,0.4,0.8,10,1,0.375,0.646,0.809248555,0.153257,0.760760761,0.6875,0.782608696,0.875,0
42,0.0128,521.52,0.43,0.803921569,1,0.1,0.3,0.4,8,4,0.189722222,0.398,0.809248555,0.095547,0.41041041,0.390625,0.195652174,0.875,0
43,0.0128,637.14,0.43,0.803921569,1,0.1,0.3,0.4,8,4,0.189722222,0.42,0.809248555,0.095547,0.41041041,0.46875,0.195652174,0.875,0
44,0.005,695.36,1,0.784313725,0.68,0.2,0.2,0.6,9,6,0.375,0.444,0.901734104,0.099178,0.525525526,0.5,0.195652174,0,0
45,0.3571,1147.18,0.08,0.588235294,0.788,0.4,0.1,0.4,8,8,1,0.9,0.751445087,0.02551,0.500500501,0.8125,0.282608696,0.875,0
46,0.005,736.36,1,0.784313725,0.881,0.3,0.4,0.4,8,4,0.375,0.464,0.809248555,0.095547,0.45045045,0.53125,0.282608696,0.875,1
47,0.0181,1393.18,0.43,0.980392157,0.655,0.3,0.6,0.8,10,6,0.375,0.6,0.901734104,0.153257,0.860860861,0.296875,0.586956522,0.875,0
48,0.0019,901.18,0.43,0.882352941,0.864,0.2,0.4,0.4,7,6,0.375,0.506,1,0.353619,0.510510511,0.28125,0.652173913,0.875,0
49,0.0019,883.14,0.43,0.882352941,0.864,0.2,0.4,0.4,9,6,0.375,0.506,1,0.353619,0.510510511,0.28125,0.652173913,0.875,0
50,0.0181,653.54,0.43,0.823529412,0.793,0.2,0.4,0.4,8,6,0.375,0.466,0.901734104,0.099153,0.530530531,0.5625,0.282608696,0.875,1
51,0.0005,307.5,0.43,0.549019608,0.712,0.1,0.2,0.2,7,6,0.189722222,0.442,0.809248555,0.95547,0.42042042,0.6875,0.143478261,0,0
52,0.0019,1275.1,0.43,0.921568627,0.655,0.3,0.6,0.8,9,6,0.375,0.564,0.809248555,0.353619,0.520520521,0.8375,0.391304348,0.875,1
53,0.0019,1307.9,0.43,0.921568627,0.655,0.3,0.6,0.8,9,6,0.375,0.564,0.809248555,0.353619,0.520520521,0.8375,0.391304348,0.875,1
54,0.0019,1184.08,0.43,0.980392157,0.655,0.3,0.6,0.8,9,6,0.375,0.654,0.901734104,0.353619,0.510510511,0.198125,0.782608696,0.875,1
55,0.0128,562.52,1,0.784313725,0.881,0.3,0.4,0.4,8,6,0.375,0.398,0.809248555,0.095547,0.41041041,0.3875,0.195652174,0.875,0
56,0.005,736.36,0.43,0.764705882,0.655,0.2,0.4,0.4,8,3,0.375,0.6,0.901734104,0.11351,0.45045045,0.7125,0.282608696,0,1
57,0.005,471.5,0.43,0.666666667,0.832,0.1,0.2,0.4,7,4,0.375,0.44,0.901734104,0.095547,0.35035035,0.7125,0.282608696,0,0
58,0.0005,596.14,0.43,0.705882353,0.864,0.2,0.3,0.4,8,4,0.375,0.41,0.901734104,0.095547,0.37037037,0.33125,0.195652174,0,1
59,0.0019,1335.78,0.43,1,0.655,0.4,0.8,0.8,9,6,0.375,0.47,0.901734104,0.153257,1,0.625,0.782608696,0.875,1
60,0.005,532.18,1,0.725490196,0.881,0.2,0.2,0.4,8,4,0.375,0.436,0.901734104,0.106364,0.35035035,0.3125,0.282608696,0,0
61,1,1521.1,0.12,0.62745098,0.899,0.4,0.6,0.4,9,7,0.740740741,1,0.751445087,1,0.582582583,0.83125,0.282608696,1,1
62,0.0128,819.18,1,0.803921569,0.68,0.4,0.2,0.8,9,5,0.375,0.46,0.901734104,0.095547,0.41041041,0.5625,0.282608696,0.875,0
63,0.005,537.92,1,0.68627451,0.805,0.1,0.2,0.4,9,4,0.375,0.436,0.901734104,0.095547,0.45045045,0.3125,0.282608696,0,0
64,0.005,794.58,0.43,0.764705882,0.655,0.2,0.4,0.6,9,6,0.375,0.6,0.901734104,0.11351,0.45045045,0.7125,0.282608696,0.875,1
65,0.005,570.72,0.43,0.705882353,0.864,0.2,0.3,0.4,8,4,0.375,0.436,0.901734104,0.095547,0.35035035,0.3125,0.282608696,0,0
66,0.005,1193.1,0.43,0.980392157,0.655,0.3,0.6,0.8,9,6,0.375,0.6,0.901734104,0.144222,0.800800801,0.4375,0.739130435,0.875,0
67,0.005,1311.18,0.43,0.980392157,0.655,0.3,0.6,0.8,9,6,0.375,0.574,0.901734104,0.153257,0.800800801,0.4375,0.739130435,0.875,0
68,0.0128,778.18,0.43,0.882352941,0.864,0.2,0.4,0.4,8,6,0.375,0.5,0.901734104,0.353619,0.525525526,0.4,0.565217391,0.875,0
69,0.005,983.18,0.43,0.921568627,0.805,0.2,0.6,0.6,9,6,0.375,0.532,0.809248555,0.099153,0.510510511,0.78125,0.282608696,0.875,1
70,0.0005,430.5,0.43,0.666666667,0.832,0.1,0.2,0.2,7,6,0.189722222,0.514,0.901734104,0.095547,0.37037037,0.340625,0.282608696,0,1
